subject_id,condition,videos_started,videos_stopped,vigilance_time_sec,vigilance_time_min,flagged_inattentive
sub121,AB,1529.2133645000004,1548.5491548999998,19.335790399999496,0.32226317333332494,False
sub122,AB,1564.8594870999996,1601.7279090999991,36.868421999999555,0.6144736999999926,False
sub123,AB,1506.3964663000006,1542.4315664000003,36.03510009999968,0.6005850016666614,False
sub124,AB,1491.1856454000008,1533.1238876999996,41.93824229999882,0.6989707049999804,False
sub125,AB,1536.1058415999996,1537.9747141999997,1.8688726000000315,0.03114787666666719,False
sub126,AB,1523.7812261999989,1560.3184791999977,36.53725299999883,0.6089542166666472,False
sub127,AB,1501.2863306,1535.5895384999967,34.30320789999678,0.571720131666613,False
sub128,AB,1625.0699473999994,1654.440282399999,29.370334999999614,0.4895055833333269,False
sub129,AB,1530.597313300001,1550.4250155000009,19.827702199999976,0.3304617033333329,False
sub130,AB,1513.3288561000008,1532.8005449000011,19.471688800000265,0.32452814666667107,False
sub131,AB,1492.4721589999972,1540.0427071000013,47.57054810000409,0.7928424683334014,False
sub132,AB,1579.809152300004,1581.0757494999998,1.2665971999958856,0.02110995333326476,False
sub133,AB,1560.6301865999994,1563.7847952999873,3.1546086999878753,0.052576811666464586,False
sub134,AB,1510.3514614000014,1541.6525623999914,31.301100999990012,0.5216850166665002,False
sub135,AB,1492.495395799997,1531.9298633,39.434467500003166,0.6572411250000527,False
sub136,AB,1566.7056421999878,1570.1580495999951,3.4524074000073597,0.057540123333456,False
sub137,AB,1504.6171555000035,1535.95314350001,31.33598800000641,0.5222664666667735,False
sub138,AB,1537.3564320000005,1578.7248302999942,41.368398299993714,0.6894733049998952,False
sub139,AB,1510.2123398999977,1541.5141625999968,31.301822699999093,0.5216970449999849,False
sub140,AB,1525.363396700006,1549.7656806000014,24.402283899995382,0.4067047316665897,False
sub141,AB,1507.2876232999988,1538.523085000008,31.235461700009182,0.5205910283334864,False
sub142,AB,1497.1064556000056,1526.4774140999943,29.370958499988774,0.4895159749998129,False
sub143,AB,1496.521131100002,1531.1550225999963,34.633891499994206,0.5772315249999035,False
sub144,AB,1563.677195199998,1572.952852399991,9.275657199992793,0.15459428666654654,False
sub145,AB,1535.1879587000003,1579.4584618999943,44.27050319999398,0.7378417199998997,False
sub146,AB,1541.0963281000004,1546.471744200011,5.375416100010625,0.08959026833351041,False
sub147,AB,1544.607587999999,1562.2416811000005,17.634093100001564,0.29390155166669274,False
sub148,AB,1615.2169367000024,1651.7180697000003,36.501132999997935,0.6083522166666323,False
sub149,AB,1570.1947123999998,1604.8305647000088,34.63585230000899,0.5772642050001499,False
sub14,NB,1508.5867214000027,1528.7537294000213,20.16700800001854,0.336116800000309,False
sub150,NB,1513.2231991000008,1539.1933122999908,25.97011319999001,0.4328352199998335,False
sub151,NB,1643.8885614000028,1650.335687599989,6.447126199986087,0.10745210333310146,False
sub152,NB,1560.3101065999945,1595.1778824999928,34.86777589999838,0.5811295983333064,False
sub153,NB,1565.2221180000051,1615.8242899999896,50.60217199998442,0.8433695333330736,False
sub154,NB,1540.5660071999882,1560.867867599998,20.301860400009673,0.3383643400001612,False
sub155,NB,1542.9329791000057,1568.0387062000227,25.10572710001702,0.4184287850002837,False
sub156,NB,1516.3494363999926,1541.3174055999843,24.967969199991785,0.41613281999986307,False
sub157,AB,1529.6872237000207,1569.4566387000086,39.76941499998793,0.6628235833331322,False
sub158,NB,1534.1923954999947,1559.2975835999823,25.105188099987572,0.41841980166645953,False
sub159,NB,1503.8378455000056,1535.7782645999978,31.94041909999214,0.5323403183332024,False
sub15,NB,1498.2523563999855,1535.4210224999988,37.1686661000133,0.619477768333555,False
sub160,NB,1534.1598161000002,1584.7281214999966,50.56830539999646,0.842805089999941,False
sub161,NB,1678.4636969000276,1697.2981216000044,18.834424699976807,0.3139070783329468,False
sub162,NB,1582.0576769000036,1601.194892600004,19.137215700000525,0.31895359500000875,False
sub163,NB,1555.2742833000084,1574.1095692999952,18.83528599998681,0.31392143333311345,False
sub164,NB,1549.8036875000107,1581.742582900013,31.938895400002366,0.5323149233333727,False
sub165,NB,1507.5338026999962,1542.069589199993,34.5357864999969,0.575596441666615,False
sub166,NB,1545.979370999994,1548.213744599983,2.2343735999891123,0.03723955999981854,False
sub167,NB,1536.1630880000012,1539.8370833000226,3.673995300021488,0.06123325500035814,False
sub168,NB,1519.0807440000062,1549.3152438000252,30.234499800018966,0.5039083300003161,False
sub169,NB,1537.193750900013,1572.663337200007,35.469586299994035,0.5911597716665672,False
