subject_id,condition,movie_id,target_type,accuracy,rt,log_rt,confidence,condition_enc,target_type_enc,rt_zscore,rt_norm,confidence_norm
sub184,NB,24.0,BB,1,2.510976600111462,0.92067176118,5,1,0,-0.9066279609995447,0.07551845965845864,1.0
sub184,NB,40.0,EM,1,3.0392176000168547,1.1116001138776876,5,1,1,-0.7525494737939249,0.09336383270258868,1.0
sub184,NB,32.0,EM,1,2.2981927999062464,0.8321230749090874,5,1,1,-0.9686932040294388,0.06833006214086766,1.0
sub184,NB,22.0,EM,1,3.8605033999774605,1.3507975894754405,5,1,1,-0.5129950400334803,0.12110903135011634,1.0
sub184,NB,2.0,BB,1,2.5752400000346825,0.9459427336694501,5,1,0,-0.8878834723198835,0.07768944666045087,1.0
sub184,NB,5.0,EM,1,2.827519099926576,1.039399684043352,5,1,1,-0.8142981541187213,0.08621209948295895,1.0
sub184,NB,35.0,EM,1,2.4856646000407636,0.9105400684760495,5,1,1,-0.9140110203980774,0.07466335359165285,1.0
sub184,NB,14.0,BB,1,1.7039464000845328,0.5329469725629415,5,1,0,-1.1420242902728654,0.04825485274430627,1.0
sub184,NB,15.0,BB,0,3.9959480999968946,1.3852808727131973,5,1,0,-0.4734882344603593,0.1256847102526059,1.0
sub184,NB,38.0,EM,1,3.647540000034496,1.2940529677794834,5,1,1,-0.5751126691066762,0.11391456648008712,1.0
sub185,NB,36.0,BB,1,8.322418799973093,2.1189529337325244,3,1,0,0.7884661774674572,0.27184429199541155,0.5
sub185,NB,11.0,EM,1,9.943119500065222,2.2968808044377558,5,1,1,1.2611956932150192,0.3265958326581141,1.0
sub185,NB,38.0,EM,0,12.300444799941033,2.509635424321353,4,1,1,1.9487854791677377,0.4062324935196976,0.75
sub185,NB,26.0,EM,1,2.6649428999517113,0.9801826314789682,4,1,1,-0.861718734785977,0.0807198470126506,0.75
sub185,NB,8.0,BB,1,7.676608299952932,2.038177822003092,3,1,0,0.6000947619915047,0.2500271114078767,0.5
sub185,NB,17.0,BB,1,4.209788799984381,1.4374124801614265,5,1,0,-0.41111471259635474,0.1329088126300776,1.0
sub185,NB,10.0,BB,1,5.821145199937746,1.7614970121354723,4,1,0,0.058889237302221835,0.1873446782091679,0.75
sub185,NB,25.0,BB,1,19.448970400029793,2.967794132932194,3,1,0,4.033883020648969,0.6477285267165618,0.5
sub185,NB,40.0,EM,1,4.46261000004597,1.4957337966721997,5,1,1,-0.3373712734351088,0.14144977902490824,1.0
sub185,NB,5.0,EM,1,4.737721399986185,1.5555563028228871,4,1,1,-0.2571261801473853,0.15074376711274173,0.75
sub185,NB,28.0,EM,1,3.812795800040476,1.338362725819685,5,1,1,-0.5269104968568205,0.11949734290096513,1.0
sub185,NB,35.0,EM,1,6.160890099941753,1.8182212638505706,4,1,1,0.1579867708859787,0.19882215625706268,0.75
sub185,NB,2.0,BB,1,4.405692800064571,1.482897522859182,5,1,0,-0.35397300649006724,0.1395269660163055,1.0
sub185,NB,23.0,EM,1,5.138279000064358,1.6367181985105022,3,1,1,-0.14029066554361155,0.16427565842813885,0.5
sub185,NB,16.0,EM,1,5.5452115999069065,1.7129347805624082,4,1,1,-0.02159567710155744,0.17802291403553877,0.75
sub185,NB,27.0,BB,1,5.454728599986993,1.6964828655243285,5,1,0,-0.04798795590608686,0.17496615984945318,1.0
sub185,NB,22.0,EM,0,3.0186031000921503,1.1047941747393342,5,1,1,-0.7585623561023177,0.09266742056998173,1.0
sub185,NB,7.0,EM,1,3.941431700019166,1.3715440329442863,5,1,1,-0.4893896969329226,0.12384300259492727,1.0
sub185,NB,20.0,EM,1,2.6833406999940053,0.9870625480979747,4,1,1,-0.8563524243349976,0.08134137318158646,0.75
sub185,NB,12.0,EM,1,4.5657458999194205,1.5185818960814896,5,1,1,-0.30728836916993896,0.1449339815154635,1.0
sub185,NB,1.0,EM,1,7.434443700010888,2.0061237553254565,3,1,1,0.5294596632004097,0.24184615304829793,0.5
sub185,NB,4.0,EM,1,2.8859336000168696,1.0598484524698375,5,1,1,-0.7972596853016531,0.08818549523505763,1.0
sub185,NB,33.0,BB,1,5.158093000063673,1.640566937553235,4,1,0,-0.13451127479974026,0.16494502756371804,0.75
sub185,NB,30.0,EM,1,5.3834740000311285,1.6833338906959145,4,1,1,-0.06877165306251258,0.1725589916865306,0.75
sub185,NB,6.0,BB,1,3.5325163000961766,1.2620104498889502,5,1,0,-0.6086630328279011,0.11002876277556017,1.0
sub185,NB,9.0,EM,1,5.562630199943669,1.7160710539498716,4,1,1,-0.01651498184430779,0.1786113602478135,0.75
sub185,NB,19.0,BB,0,5.804387000040151,1.7586140109589674,4,1,0,0.05400116899822192,0.186778542053939,0.75
sub185,NB,13.0,BB,1,2.894072699942626,1.0626647488138175,5,1,0,-0.7948856548799317,0.08846045547942447,1.0
sub185,NB,37.0,BB,1,2.8304512999020517,1.0404361688712223,5,1,0,-0.8134428836333055,0.0863111569253228,1.0
sub185,NB,32.0,EM,1,4.566060499986634,1.5186507981263995,5,1,1,-0.30719660593603687,0.14494460953479582,1.0
sub185,NB,21.0,BB,1,4.389979299972765,1.4793245118078002,5,1,0,-0.35855635447571105,0.13899612257360133,1.0
sub185,NB,18.0,EM,1,3.809235099935904,1.3374284078117091,5,1,1,-0.5279490896309588,0.11937705306796138,1.0
sub185,NB,34.0,BB,1,7.3885474998969585,1.9999311662367323,4,1,0,0.5160725594290114,0.24029565845873024,0.75
sub185,NB,31.0,EM,1,8.358939500059932,2.1233315649901368,3,1,1,0.7991186149383809,0.2730780574869186,0.5
sub185,NB,15.0,BB,1,5.302101899986155,1.668103326842117,4,1,0,-0.09250644471616934,0.16981002770806836,0.75
sub185,NB,3.0,BB,1,3.4160802999977022,1.228493782675126,5,1,0,-0.6426253393407606,0.10609524784980512,1.0
sub185,NB,24.0,BB,0,5.548841200070456,1.7135891131779981,4,1,0,-0.02053698740791176,0.17814553149410628,0.75
sub185,NB,14.0,BB,1,3.865023500053212,1.3519677622416542,4,1,0,-0.5116766073828255,0.12126173224244206,0.75
sub185,NB,29.0,BB,1,4.479644599952735,1.4995437129123808,5,1,0,-0.33240258417346985,0.14202525270084054,1.0
sub185,NB,39.0,BB,1,8.608478599926457,2.152747601307673,4,1,0,0.8719047239548567,0.2815081458878797,0.75
sub18,NB,19.0,BB,1,10.96554279999691,2.3947578836083148,2,1,0,1.5594183517467617,0.361135986109965,0.25
sub18,NB,30.0,EM,1,6.827285900013521,1.9209272153992678,4,1,1,0.35236255158763974,0.22133476252854117,0.75
sub18,NB,39.0,BB,0,4.83246780000627,1.575357268861651,3,1,0,-0.22949034350106703,0.15394455018949954,0.5
sub18,NB,20.0,EM,1,4.5522982999973465,1.5156322263107895,3,1,1,-0.3112107944510335,0.14447968615179313,0.5
sub18,NB,8.0,BB,1,3.5191295000258833,1.2582136578970287,5,1,0,-0.6125677238755939,0.10957652139110809,1.0
sub18,NB,21.0,BB,1,4.7304638999921735,1.5540232738029764,4,1,0,-0.2592430635778126,0.15049858963733925,0.75
sub18,NB,12.0,EM,1,3.772479499981273,1.3277324775778454,5,1,1,-0.5386700432077519,0.11813535203989146,1.0
sub18,NB,10.0,BB,1,3.261946499987971,1.1823241030796436,5,1,0,-0.687583422369163,0.10088820189847683,1.0
sub18,NB,36.0,BB,0,10.162235999974655,2.318678496674226,1,1,0,1.3251080719093695,0.33399816546020294,0.0
sub18,NB,11.0,EM,1,2.469358000002103,0.9039581978275923,1,1,1,-0.9187673650700621,0.07411247366975462,0.0
sub18,NB,14.0,BB,1,3.378671599988593,1.217482614488354,4,1,0,-0.6535367905661762,0.10483148338078802,0.75
sub18,NB,18.0,EM,1,3.0531693999946583,1.1161801986184905,5,1,1,-0.748479982340667,0.0938351612728541,1.0
sub18,NB,6.0,BB,1,3.6203750999993645,1.2865776392539792,5,1,0,-0.5830361864089202,0.11299686456955717,1.0
sub18,NB,3.0,BB,1,2.937801500025671,1.0776615125099382,5,1,0,-0.7821307430777065,0.0899377295842249,1.0
sub18,NB,32.0,EM,1,3.658204100007424,1.2969723439308671,5,1,1,-0.5720021411629299,0.11427482788015049,1.0
sub18,NB,37.0,BB,1,2.705475300026592,0.9952776085178924,5,1,0,-0.8498961559110524,0.0820891383017397,1.0
sub18,NB,25.0,BB,1,7.412119800021173,2.0031164712743035,5,1,0,0.5229481793520132,0.24109199287673294,1.0
sub18,NB,38.0,EM,1,4.096203599998262,1.4100605935326789,4,1,1,-0.44424549151344633,0.1290716052447981,0.75
sub18,NB,16.0,EM,1,7.991670100018382,2.0783997617177814,1,1,1,0.6919926751392124,0.26067072929276264,0.0
sub18,NB,4.0,EM,1,3.7061956000106875,1.310005905750123,5,1,1,-0.5580038757489321,0.11589610722169912,1.0
sub18,NB,17.0,BB,1,2.513746300013736,0.9217741902045807,5,1,0,-0.9058200888899729,0.0756120274201152,1.0
sub18,NB,2.0,BB,1,3.973440000001574,1.3796322182467364,5,1,0,-0.4800534461682217,0.12492432731943141,1.0
sub18,NB,34.0,BB,1,4.4844106000091415,1.5006070710464348,5,1,0,-0.3310124268800289,0.14218626074253016,1.0
sub18,NB,24.0,BB,1,2.0176804999937303,0.7019485843192412,5,1,0,-1.0505136436031002,0.05885361741904131,1.0
sub18,NB,1.0,EM,1,2.7542937000107486,1.0131610395043789,5,1,1,-0.8356566985067524,0.08373835250376274,1.0
sub18,NB,15.0,BB,1,4.00364169999375,1.38720437193286,5,1,0,-0.47124414842975404,0.1259446203353537,1.0
sub18,NB,23.0,EM,1,2.5909010999894235,0.9520057302568696,3,1,1,-0.8833154085205293,0.07821851988843548,0.5
sub18,NB,26.0,EM,1,4.526573700015433,1.5099652956997232,4,1,1,-0.3187142018917524,0.14361064137266677,0.75
sub18,NB,29.0,BB,1,3.3527877000160515,1.209792149051264,1,1,0,-0.661086662975673,0.10395705702817684,0.0
sub18,NB,28.0,EM,1,2.184095400007209,0.7812017382506395,5,1,1,-1.0019733825344903,0.06447555129273531,1.0
sub18,NB,27.0,BB,1,2.966674700001022,1.0874416959318312,4,1,0,-0.7737089451222579,0.0909131423685983,0.75
sub18,NB,33.0,BB,1,4.017884100001538,1.3907554207804795,5,1,0,-0.4670898941258088,0.12642576614044687,1.0
sub18,NB,7.0,EM,1,3.565576599998167,1.2713257799178168,4,1,1,-0.5990199324317277,0.11114562682967088,0.75
sub18,NB,31.0,EM,1,2.0469219000078738,0.7163371525599274,5,1,1,-1.0419844482571112,0.05984146897103837,1.0
sub18,NB,40.0,EM,1,3.004899599996861,1.10024415644627,5,1,1,-0.7625594229041797,0.0922044802240894,1.0
sub18,NB,35.0,EM,1,2.1681107000040356,0.7738561431613074,5,1,1,-1.006635834701902,0.06393554600233525,1.0
sub18,NB,9.0,EM,1,3.1607004999823403,1.15079368024166,4,1,1,-0.7171150765180868,0.09746784520588753,0.75
sub18,NB,13.0,BB,1,6.3188915999780875,1.8435438130276367,4,1,0,0.2040729930954952,0.2041598633077943,0.75
sub18,NB,22.0,EM,1,3.2202740000211634,1.1694664491103726,5,1,1,-0.699738548067683,0.09948039503054654,1.0
sub18,NB,5.0,EM,1,3.5554887000180315,1.2684925221667978,4,1,1,-0.6019623931046009,0.11080483098381715,0.75
sub19,NB,25.0,BB,1,3.0955165000000306,1.1299547742811573,5,1,0,-0.7361280878312643,0.0952657579078527,1.0
sub19,NB,6.0,BB,1,5.795856699999831,1.757143300205215,5,1,0,0.05151303247368492,0.1864903660387771,1.0
sub19,NB,5.0,EM,0,7.551048000000037,2.0216863615750262,3,1,1,0.5634710597925259,0.24578535358787873,0.5
sub19,NB,1.0,EM,0,3.244788299999982,1.1770501091989352,5,1,1,-0.6925881635721258,0.10030855268607891,1.0
sub19,NB,15.0,BB,1,4.152469800000063,1.4237032897516089,5,1,0,-0.42783364355268794,0.13097242575851736,1.0
sub19,NB,24.0,BB,1,3.4261175999999978,1.2314277250571208,5,1,0,-0.6396976377798071,0.10643433429506191,1.0
sub19,NB,36.0,BB,1,5.355671399999892,1.678156074191769,5,1,0,-0.0768811760907574,0.17161974658960888,1.0
sub19,NB,3.0,BB,1,4.5630175000001145,1.5179841371340792,5,1,0,-0.3080841948103832,0.14484180897606896,1.0
sub19,NB,12.0,EM,1,3.4722518999999465,1.2448033460096486,5,1,1,-0.6262410845142419,0.10799287252624114,1.0
sub19,NB,26.0,EM,1,3.5342243000000053,1.2624938410401874,5,1,1,-0.6081648396899653,0.11008646351338368,1.0
sub19,NB,34.0,BB,1,4.9413807999999335,1.5976448063130504,5,1,0,-0.19772236207013916,0.1576239183464399,1.0
sub19,NB,29.0,BB,1,3.6137555999998767,1.2847475639839878,5,1,0,-0.5849669766091533,0.11277324041528358,1.0
sub19,NB,17.0,BB,1,3.5518193000000338,1.2674599510881233,5,1,0,-0.6030326917066152,0.11068086898128225,1.0
sub19,NB,7.0,EM,1,3.6081380000000536,1.283191849805972,5,1,1,-0.5866055304318479,0.11258346308329402,1.0
sub19,NB,19.0,BB,1,6.1065137000000504,1.8093560211375106,3,1,0,0.1421261439293324,0.19698517816954147,0.5
sub19,NB,13.0,BB,1,3.6977081,1.3077131952902157,5,1,0,-0.560479528267458,0.11560937710432863,1.0
sub19,NB,31.0,EM,1,2.3174251999998887,0.8404567417772839,5,1,1,-0.9630834556148092,0.06897978329894981,1.0
sub19,NB,22.0,EM,1,3.0278764000001956,1.107861515719691,5,1,1,-0.7558574997555148,0.09298069707869423,1.0
sub19,NB,2.0,BB,1,3.178867999999966,1.156525158575223,5,1,0,-0.7118159404807002,0.09808159123308313,1.0
sub19,NB,18.0,EM,1,2.3681821999998647,0.8621226566293422,5,1,1,-0.9482785431288557,0.07069448851827717,1.0
sub19,NB,30.0,EM,1,3.380175999999892,1.2179277791451648,5,1,1,-0.6530979838890446,0.10488230597769745,1.0
sub19,NB,33.0,BB,1,3.5606047000001126,1.2699303899900325,5,1,0,-0.6004701470693173,0.11097766294534672,1.0
sub19,NB,21.0,BB,1,2.1856390000000374,0.7819082343054257,5,1,0,-1.001523141921232,0.06452769816832407,1.0
sub19,NB,40.0,EM,1,2.691353100000015,0.9900440782984679,5,1,1,-0.8540153500222628,0.08161205316877344,1.0
sub19,NB,37.0,BB,1,2.5124287999999524,0.92124993467518,5,1,0,-0.9062043801681082,0.07556751879765722,1.0
sub19,NB,11.0,EM,1,2.131275100000039,0.756720439106458,5,1,1,-1.0173801228676136,0.06269114236177459,1.0
sub19,NB,20.0,EM,1,2.0336565000000064,0.7098354043086507,5,1,1,-1.0458537290697625,0.05939332880061919,1.0
sub19,NB,27.0,BB,1,5.785100300000067,1.7552856984383072,5,1,0,0.0483755822567594,0.18612698650057008,1.0
sub19,NB,35.0,EM,1,2.055185700000038,0.7203662088290528,5,1,1,-1.0395740450479878,0.060120641912269096,1.0
sub19,NB,28.0,EM,1,2.130190099999936,0.7562112245651553,5,1,1,-1.0176965980345616,0.06265448820248332,1.0
sub19,NB,39.0,BB,1,6.500275399999964,1.8718445452348047,5,1,0,0.2569794155730817,0.210287486071139,1.0
sub19,NB,10.0,BB,1,1.8106345999999576,0.5936773915639882,5,1,0,-1.1109052433821405,0.05185906129161415,1.0
sub19,NB,32.0,EM,1,2.149821299999985,0.7653847224061454,5,1,1,-1.0119705267932528,0.0633176818723566,1.0
sub19,NB,38.0,EM,1,6.309381499999972,1.842037652731507,5,1,1,0.20129906638767694,0.20383858706867836,1.0
sub19,NB,16.0,EM,1,2.435375699999895,0.890101036213897,5,1,1,-0.9286793964668024,0.07296446202252249,1.0
sub19,NB,9.0,EM,1,2.4280195999999705,0.8870759456523015,4,1,1,-0.9308250397620494,0.07271595357908078,0.75
sub19,NB,8.0,BB,1,5.039431499999864,1.6172932781020728,5,1,0,-0.16912271999739753,0.16093632938429997,1.0
sub19,NB,23.0,EM,1,1.977884099999983,0.6820276369438453,5,1,1,-1.062121544368782,0.0575091901522653,1.0
sub19,NB,14.0,BB,1,4.7355402000000595,1.5550958067199032,4,1,0,-0.2577623973176075,0.1506700804291196,0.75
sub19,NB,4.0,EM,0,2.039630200000147,0.7127685169141833,5,1,1,-1.044111307222146,0.05959513612904564,1.0
sub21,NB,12.0,EM,1,14.062457999999879,2.6435086932935037,4,1,1,2.4627333331775993,0.4657579428304534,0.75
sub21,NB,17.0,BB,1,7.776796600000125,2.0511445053268234,5,1,0,0.6293179039091881,0.2534117362085257,1.0
