subject_id,condition,mean_accuracy,mean_rt,median_rt,mean_conf,n_trials,REC,LDI_BB,LDI_EM
sub146,AB,0.7692307692307693,7.36204367692251,5.693529400014086,4.0,39,0.5384615384615385,0.6000000000000001,0.4736842105263157
sub147,AB,0.8,6.244800024998767,5.614330600001267,3.6,40,0.6000000000000001,0.6000000000000001,0.6000000000000001
sub148,AB,0.725,5.3990896449988215,4.479889900001581,3.8,40,0.44999999999999996,0.5,0.3999999999999999
sub149,AB,0.775,5.90549338750061,5.157198500019149,3.625,40,0.55,0.3999999999999999,0.7
sub15,NB,0.8,4.913454105002165,4.4127028999937465,4.275,40,0.6000000000000001,0.5,0.7
sub150,NB,0.85,3.766880367500562,3.6055999499949394,4.275,40,0.7,0.5,0.8999999999999999
sub151,NB,0.8947368421052632,8.063549439471803,5.909554149999167,4.421052631578948,38,0.7894736842105263,0.8,0.7777777777777777
sub152,NB,0.8,9.385041922501113,8.613053999986732,3.5,40,0.6000000000000001,0.6000000000000001,0.6000000000000001
sub153,NB,0.7,4.893822125003498,3.8262817500071833,4.225,40,0.3999999999999999,0.30000000000000004,0.5
sub154,NB,0.95,4.533935000003112,4.202565750005306,4.25,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub155,NB,0.875,5.4584839724986525,4.741480599986971,4.475,40,0.75,0.8999999999999999,0.6000000000000001
sub156,NB,0.95,4.370602202498413,3.940539749994059,4.65,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub157,AB,0.85,4.7479849075010865,4.172864200008917,4.25,40,0.7,0.5,0.8999999999999999
sub158,NB,0.825,6.255754775000241,5.794020750006894,4.275,40,0.6499999999999999,0.7,0.6000000000000001
sub159,NB,0.825,5.470249600003444,4.4182255000196164,4.125,40,0.6499999999999999,0.6000000000000001,0.7
sub16,NB,0.675,6.249812934998772,5.584414850003668,3.875,40,0.3500000000000001,0.5,0.19999999999999996
sub160,NB,0.75,3.874103595002089,3.547018500001286,4.375,40,0.5,0.19999999999999996,0.8
sub161,NB,0.925,5.3309800474999065,4.35143345000688,4.025,40,0.8500000000000001,0.8999999999999999,0.8
sub162,NB,0.825,3.219387559997267,2.917245450007613,3.3,40,0.6499999999999999,0.6000000000000001,0.7
sub163,NB,0.95,4.985194747500645,4.573144349997165,3.975,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub164,NB,0.9166666666666666,7.5984398638853845,6.150038000007044,5.0,36,0.8333333333333333,1.0,0.6666666666666667
sub165,NB,0.875,4.178033987501112,3.7811373000004096,4.675,40,0.75,0.7,0.8
sub166,NB,0.925,5.534047029999056,4.106762149996939,3.9,40,0.8500000000000001,0.8999999999999999,0.8
sub167,NB,0.95,4.555101190001733,3.7049638499884168,4.6,40,0.8999999999999999,1.0,0.8
sub168,NB,0.975,6.2600108124970575,6.09101129998453,4.625,40,0.95,0.8999999999999999,1.0
sub169,NB,0.875,6.584855410003366,4.874286000005668,4.375,40,0.75,0.7,0.8
sub17,NB,0.975,5.914260652501253,5.170805850008037,4.325,40,0.95,0.8999999999999999,1.0
sub170,NB,0.9,5.642395432495687,4.279868399986299,3.575,40,0.8,0.8,0.8
sub171,NB,0.725,7.366088045001379,6.493199399992591,3.0,40,0.44999999999999996,0.30000000000000004,0.6000000000000001
sub172,NB,0.875,5.983497650001664,5.955634700017981,3.575,40,0.75,0.6000000000000001,0.8999999999999999
sub173,NB,0.8,6.965194089996658,6.830522549993475,4.225,40,0.6000000000000001,0.5,0.7
sub174,NB,0.95,5.4812397999980025,4.48583960000542,4.15,40,0.8999999999999999,0.8,1.0
sub175,NB,0.9,5.10812078750314,4.760718600009568,4.425,40,0.8,0.8999999999999999,0.7
sub176,NB,0.65,6.219046717489254,5.5732450999785215,4.0,40,0.30000000000000004,0.19999999999999996,0.3999999999999999
sub177,NB,0.95,4.2081182724941755,3.41959185001906,4.4,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub178,NB,0.825,3.9366913724981716,3.4921918499749154,4.6,40,0.6499999999999999,0.6000000000000001,0.7
sub179,NB,0.85,6.802808999999252,6.044465400016634,4.3,40,0.7,0.7,0.7
sub18,NB,0.95,4.1020021850032204,3.560532650008099,4.125,40,0.8999999999999999,0.8,1.0
sub180,NB,0.9,5.761077582492726,5.128254350012867,4.425,40,0.8,0.8,0.8
sub181,NB,0.925,3.2556977824991917,2.8166881000215653,4.7,40,0.8500000000000001,0.8,0.8999999999999999
sub182,NB,0.85,5.0403053599977286,3.834398999984842,3.825,40,0.7,0.6000000000000001,0.8
sub183,NB,0.875,5.82489673999662,5.247088450007141,4.15,40,0.75,0.7,0.8
sub184,NB,0.775,2.9811025575036183,2.71008604997769,4.1,40,0.55,0.6000000000000001,0.5
sub185,NB,0.9,5.6383355799946,4.938000200025272,4.3,40,0.8,0.8,0.8
sub19,NB,0.925,3.6123558174999912,3.403146799999945,4.85,40,0.8500000000000001,1.0,0.7
sub21,NB,0.875,7.037956332500039,6.560830050000277,3.875,40,0.75,0.8,0.7
sub22,NB,0.925,6.032438907499932,5.4954031999996005,4.075,40,0.8500000000000001,0.8,0.8999999999999999
sub23,AB,0.825,4.630832950000058,4.119443900000078,3.725,40,0.6499999999999999,0.3999999999999999,0.8999999999999999
sub24,NB,0.9,3.883507074999943,3.2218613000004552,4.7,40,0.8,0.7,0.8999999999999999
sub25,AB,0.875,7.550236340000083,6.541634700000941,4.275,40,0.75,0.8,0.7
sub26,AB,0.925,4.4982109199998375,4.127312450002137,2.9,40,0.8500000000000001,0.8,0.8999999999999999
sub27,AB,0.925,4.587174685000173,3.7708225999995193,4.125,40,0.8500000000000001,0.8,0.8999999999999999
sub28,AB,0.9736842105263158,8.913733981579227,7.860221249999086,4.921052631578948,38,0.9473684210526316,1.0,0.8999999999999999
sub29,AB,0.85,7.372763917500015,5.664961650001715,4.3,40,0.7,0.5,0.8999999999999999
sub30,AB,0.775,4.8228026900002074,3.938044649999938,4.3,40,0.55,0.5,0.6000000000000001
sub31,AB,0.85,6.063545314999283,4.899211899995862,4.525,40,0.7,0.7,0.7
sub32,AB,0.925,5.501531177499419,4.33973369999876,4.525,40,0.8500000000000001,0.8999999999999999,0.8
